Flow Size (Bytes), FCT (ns) Flow 1, Standalone FCT (ns) Flow 1, FCT (ns) Flow 2, Standalone FCT (ns) Flow 2, FCT (ns) Flow 3, Standalone FCT (ns) Flow 3
972800, 1431640, 330881, 36637544, 17587165, 35254968, 17587165
1018880, 1476220, 346333, 36595862, 17587165, 35359631, 17587165
1064960, 1520466, 361785, 36802280, 17587165, 35146418, 17587165
1111040, 1565397, 377253, 36545162, 17587165, 35488291, 17587165
1157120, 1609642, 392705, 36726882, 17587165, 35287432, 17587165
1203200, 1653888, 408157, 36772859, 17587165, 35255121, 17587165
1249280, 1698803, 423609, 36533808, 17587165, 35622782, 17587165
1295360, 1743719, 439061, 36772529, 17587165, 35326191, 17587165
1341440, 1788300, 454513, 36933397, 17587165, 35201374, 17587165
1387520, 1833215, 469966, 36635462, 17587165, 35612577, 17587165
1433600, 1877796, 485418, 36817751, 17587165, 35438060, 17587165
1479680, 1922041, 500870, 36842908, 17587165, 35477329, 17587165
1525760, 1965952, 516322, 36966024, 17587165, 35333910, 17587165
1571840, 2011203, 531774, 36758796, 17587165, 35657214, 17587165
1617920, 2056788, 547226, 36918762, 17587165, 35483355, 17587165
1664000, 2101369, 562679, 36810451, 17587165, 35699900, 17587165
1710080, 2145629, 578146, 36778298, 17587165, 35800803, 17587165
1756160, 2190545, 593598, 36962513, 17587165, 35589938, 17587165
1802240, 2234791, 609050, 37072966, 17587165, 35525444, 17587165
1848320, 2278031, 624503, 36838283, 17587165, 35910976, 17587165
1894400, 2321942, 639955, 37046220, 17587165, 35638155, 17587165
1940480, 2365182, 655407, 36924838, 17587165, 35838928, 17587165
1986560, 2408423, 670859, 36887098, 17587165, 35942473, 17587165
2032640, 2450994, 686311, 36935236, 17587165, 35913781, 17587165
2078720, 2493899, 701763, 36912772, 17587165, 36036806, 17587165
2124800, 2536470, 717216, 37078018, 17587165, 35850728, 17587165
2170880, 2578705, 732668, 37053256, 17587165, 35897045, 17587165
2216960, 2621276, 748120, 36917979, 17587165, 36157874, 17587165
2263040, 2664867, 763587, 37287672, 17587165, 35831161, 17587165
2309120, 2707772, 779040, 37061266, 17587165, 36137137, 17587165
2355200, 2750343, 794492, 37050652, 17587165, 36180714, 17587165
2401280, 2792578, 809944, 37067726, 17587165, 36228083, 17587165
2447360, 2835819, 825396, 37165841, 17587165, 36102280, 17587165
2493440, 2877720, 840848, 37265418, 17587165, 36021489, 17587165
2539520, 2919285, 856300, 37028474, 17587165, 36389464, 17587165
2585600, 2961856, 871752, 37124946, 17587165, 36292018, 17587165
2631680, 3003421, 887205, 37166560, 17587165, 36315905, 17587165
2677760, 3044652, 902657, 37366131, 17587165, 36085770, 17587165
2723840, 3085213, 918109, 37353192, 17587165, 36115378, 17587165
2769920, 3125773, 933561, 37224079, 17587165, 36361466, 17587165
2816000, 3166669, 949013, 37379123, 17587165, 36167019, 17587165
2862080, 3207914, 964481, 37295523, 17587165, 36356792, 17587165
2908160, 3248475, 979933, 37291483, 17587165, 36347477, 17587165
2954240, 3290376, 995385, 37294832, 17587165, 36365469, 17587165
3000320, 3331941, 1010837, 37472794, 17587165, 36166907, 17587165
