任务ID  源节点  目标节点  数据大小  开始时间
1    1    2    1073741824    0.10 
1    2    3    1073741824    0.14 
1    3    4    1073741824    0.18 
1    4    1    1073741824    0.22 
2    5    2    1073741824    0.10 
2    2    2    1073741824    0.14 
2    2    2    1073741824    0.18 
2    2    5    1073741824    0.22 
3    6    7    1073741824    0.10 
3    7    3    1073741824    0.14 
3    3    3    1073741824    0.18 
3    3    6    1073741824    0.22 
4    8    9    1073741824    0.10 
4    9    10    1073741824    0.14 
4    10    4    1073741824    0.18 
4    4    8    1073741824    0.22 
5    11    2    1073741824    0.10 
5    2    2    1073741824    0.14 
5    2    2    1073741824    0.18 
5    2    11    1073741824    0.22 
